tx hash,permit,token,amount,exact in,amountIn,inPath,exact out,amountOut,outPath
0x06e6ed962aea6649ae45a2e80865a619409da3c6708a47f256259147442e7d98,++++,0xc668B113ae740702CB27b49a4c9551276042c384,1461501637330902918203684832716283019655932542975,++++,197500000000000009488,"['0xc668B113ae740702CB27b49a4c9551276042c384', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x8aa36a2e0cbdc03d906d2663699e07e7d9938d9979de1572fe8eb922a6c9efa6,----,,,++++,90000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xBF9E1fD930d3507701293e66eBb8d940209fbae3']",----,,
0x187aa4388bad2a9efa3116ac758547684354cbfe033bd679334b3a5fdae83c64,----,,,++++,129660000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xB6911a0452f91BA730267a7b8a026d5866249c59']",----,,
0xe7e94614e940e8468e34448173605c2652b05175754573c08dcff9741d04a70b,----,,,++++,468678103911111605707143570208,"['0x772c44b5166647B135BB4836AbC4E06c28E94978', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0x5d3a3be0055559fc00f9da25455d05acac18f712ec84898fbc907009b7ad8373,----,,,++++,55000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x10D07423FDe4747542E76B7199B98a0d03Cf465B']",----,,
0x4c74406fab860771984312ee4debfba4f7bcc947f7273e0deebd31ebfea0cbe1,----,,,----,,,++++,5000000000,"('0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 500, '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48')"
0x3109afa9c29ea0c8e9159e4b68a8f67eb321763ef56530f7ed47609b540fdedd,++++,0x12970E6868f88f6557B76120662c1B3E50A646bf,1461501637330902918203684832716283019655932542975,++++,3323692605200698013450925409,"('0x12970E6868f88f6557B76120662c1B3E50A646bf', 3000, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0xc282b3517a58a245003f3b4fa974c310c5f49ee3fde3c61e3946e5f793bfc029,----,,,++++,150000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x0060032487F2FDCFf4eAd14Bb38F7dB7025f16Cb']",----,,
0x3949c4890bddb90d2d9dee118332169da37762792efa2b72d461c80119b53460,++++,0x9CfFcAD55d78B1370dE77e00C47B057EbE44334C,1461501637330902918203684832716283019655932542975,++++,309600018091583886324954331,"['0x9CfFcAD55d78B1370dE77e00C47B057EbE44334C', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",----,,
0xd162efc7d21fa5cae495b709276d8416e3ee0a13a81ab70fa412a80079b4ae71,----,,,++++,100,"['0x96c645D3D3706f793Ef52C19bBACe441900eD47D', '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0x2c95D751DA37A5C1d9c5a7Fd465c1d50F3d96160']",----,,
0x89b7210c04fef2df536bb65d89b781dac5e51ec998bb5a41693da35929497904,++++,0xC7555f6410E983C867748879B2F6d2b0b0e100fd,1461501637330902918203684832716283019655932542975,++++,134128712546,"('0xC7555f6410E983C867748879B2F6d2b0b0e100fd', 10000, '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2')",----,,
0x22476873ea04cae695c358db189bf4ad4d22ea48eaeafe2759979ad6d1f716c4,----,,,----,,,++++,125000000000000000000000,"['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', '0xCEBA2a8F6Ec221AEB5f3a7bcd15Cbc7e6a387bfb']"
